timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
5384000,487.69293,32.0,95602.71,1.1359184
5396000,487.65063,32.0,95603.195,1.1359241
5404000,487.79596,32.0,95601.54,1.1359044
5416000,487.73782,32.0,95602.2,1.1359123
5424000,487.60837,32.0,95603.695,1.1359301
5436000,487.47888,32.0,95605.15,1.1359473
5444000,487.48682,32.0,95605.08,1.1359465
5456000,487.69293,32.0,95602.71,1.1359184
5464000,487.63214,32.0,95603.414,1.1359267
5476000,487.69293,32.0,95602.695,1.1359181
5484000,487.75897,32.0,95601.96,1.1359094
5496000,487.51852,32.0,95604.695,1.135942
5504000,487.70084,32.0,95602.61,1.1359172
5516000,487.5846,32.0,95603.945,1.135933
5524000,487.60837,32.0,95603.69,1.13593
5536000,487.7722,32.0,95601.8,1.1359075
5544000,487.5555,32.0,95604.28,1.135937
5556000,487.60043,32.0,95603.77,1.135931
5564000,487.71405,32.0,95602.46,1.1359154
5576000,487.71405,32.0,95602.46,1.1359154
5584000,487.79068,32.0,95601.6,1.1359051
5596000,487.5608,32.0,95604.22,1.1359363
5604000,487.51587,32.0,95604.73,1.1359423
5616000,487.69028,32.0,95602.734,1.1359186
5624000,487.58194,32.0,95603.98,1.1359334
5636000,487.59515,32.0,95603.836,1.1359317
5644000,487.7537,32.0,95602.02,1.1359102
5656000,487.64008,32.0,95603.32,1.1359257
5664000,487.50797,32.0,95604.836,1.1359437
5676000,487.63742,32.0,95603.336,1.1359258
5684000,487.6665,32.0,95603.0,1.1359218
5696000,487.72726,32.0,95602.32,1.1359137
5704000,487.57928,32.0,95604.0,1.1359336
5716000,487.48154,32.0,95605.14,1.1359472
5724000,487.57928,32.0,95604.0,1.1359336
5736000,487.45776,32.0,95605.4,1.1359503
5744000,487.62686,32.0,95603.46,1.1359273
5756000,487.54758,32.0,95604.39,1.1359383
5764000,487.6982,32.0,95602.64,1.1359175
5776000,487.7035,32.0,95602.59,1.135917
5784000,487.53174,32.0,95604.555,1.1359403
5796000,487.6348,32.0,95603.39,1.1359265
5804000,487.72464,32.0,95602.35,1.1359141
5816000,487.6744,32.0,95602.914,1.1359208
5824000,487.67178,32.0,95602.94,1.135921
5836000,487.51587,32.0,95604.73,1.1359423
5844000,487.5555,32.0,95604.27,1.135937
5856000,487.51324,32.0,95604.78,1.1359429
5864000,487.62686,32.0,95603.484,1.1359276
5876000,487.611,32.0,95603.664,1.1359297
5884000,487.6665,32.0,95603.03,1.1359222
5896000,487.5846,32.0,95603.945,1.135933
5904000,487.64008,32.0,95603.305,1.1359254
5916000,487.46304,32.0,95605.34,1.1359496
5924000,487.66913,32.0,95602.97,1.1359215
5936000,487.50797,32.0,95604.83,1.1359435
5944000,487.66913,32.0,95602.97,1.1359215
5956000,487.5555,32.0,95604.27,1.135937
5964000,487.76953,32.0,95601.83,1.1359079
5976000,487.57666,32.0,95604.055,1.1359344
5984000,487.5925,32.0,95603.86,1.135932
5996000,487.62158,32.0,95603.53,1.1359282
6004000,487.58722,32.0,95603.914,1.1359327
6016000,487.49738,32.0,95604.94,1.1359448
6024000,487.6559,32.0,95603.14,1.1359235
6036000,487.69556,32.0,95602.69,1.135918
6044000,487.73254,32.0,95602.26,1.135913
6056000,487.5238,32.0,95604.66,1.1359415
6064000,487.73782,32.0,95602.2,1.1359123
6076000,487.60043,32.0,95603.766,1.1359309
6084000,487.5925,32.0,95603.85,1.1359318
6096000,487.4234,32.0,95605.805,1.1359551
6104000,487.6559,32.0,95603.14,1.1359235
6116000,487.54758,32.0,95604.38,1.1359382
6124000,487.69293,32.0,95602.7,1.1359183
6136000,487.7484,32.0,95602.08,1.1359109
6144000,487.7035,32.0,95602.57,1.1359167
6156000,487.62686,32.0,95603.47,1.1359273
6164000,487.70084,32.0,95602.6,1.1359171
6176000,487.63742,32.0,95603.336,1.1359258
6184000,487.5555,32.0,95604.28,1.135937
6196000,487.67178,32.0,95602.96,1.1359214
6204000,487.55817,32.0,95604.26,1.1359367
6216000,487.6427,32.0,95603.3,1.1359253
6224000,487.61365,32.0,95603.625,1.1359292
6236000,487.51324,32.0,95604.77,1.1359428
6244000,487.45245,32.0,95605.45,1.1359509
6256000,487.57138,32.0,95604.12,1.1359351
6264000,487.72992,32.0,95602.27,1.1359131
6276000,487.5529,32.0,95604.305,1.1359373
6284000,487.56873,32.0,95604.14,1.1359353
6296000,487.53967,32.0,95604.48,1.1359394
6304000,487.67706,32.0,95602.89,1.1359205
6316000,487.35733,32.0,95606.56,1.1359642
6324000,487.76163,32.0,95601.91,1.1359088
6336000,487.55023,32.0,95604.336,1.1359377
6344000,487.75104,32.0,95602.04,1.1359104
6356000,487.50797,32.0,95604.836,1.1359437
6364000,487.59778,32.0,95603.8,1.1359313
6376000,487.48682,32.0,95605.06,1.1359463
6384000,487.5053,32.0,95604.85,1.1359438
6396000,487.78806,32.0,95601.63,1.1359055
6404000,487.8541,32.0,95600.875,1.1358966
6416000,487.60837,32.0,95603.68,1.1359298
6424000,487.52646,32.0,95604.62,1.135941
6436000,487.70877,32.0,95602.516,1.135916
6444000,487.5555,32.0,95604.28,1.135937
6456000,487.68234,32.0,95602.83,1.1359197
6464000,487.73782,32.0,95602.2,1.1359123
6476000,487.6163,32.0,95603.586,1.1359288
6484000,487.45245,32.0,95605.48,1.1359512
6496000,487.65063,32.0,95603.18,1.135924
6504000,487.64008,32.0,95603.33,1.1359257
6516000,487.69556,32.0,95602.664,1.1359178
6524000,487.67972,32.0,95602.86,1.1359202
6536000,487.685,32.0,95602.805,1.1359195
6544000,487.62686,32.0,95603.46,1.1359273
6556000,487.47888,32.0,95605.15,1.1359473
6564000,487.56345,32.0,95604.2,1.1359361
6576000,487.67706,32.0,95602.9,1.1359205
6584000,487.5106,32.0,95604.805,1.1359432
6596000,487.5846,32.0,95603.94,1.1359329
6604000,487.6031,32.0,95603.74,1.1359307
6616000,487.722,32.0,95602.375,1.1359143
6624000,487.64008,32.0,95603.305,1.1359254
6636000,487.66122,32.0,95603.086,1.1359228
6644000,487.58987,32.0,95603.88,1.1359323
6656000,487.8858,32.0,95600.51,1.1358922
6664000,487.62158,32.0,95603.516,1.1359279
6676000,487.61365,32.0,95603.61,1.135929
6684000,487.43396,32.0,95605.695,1.1359538
6696000,487.69556,32.0,95602.68,1.135918
6704000,487.5846,32.0,95603.96,1.1359332
6716000,487.57928,32.0,95604.02,1.135934
6724000,487.6057,32.0,95603.72,1.1359303
6736000,487.69028,32.0,95602.75,1.1359189
6744000,487.67972,32.0,95602.85,1.13592
6756000,487.63214,32.0,95603.414,1.1359267
6764000,487.4049,32.0,95606.02,1.1359577
6776000,487.5846,32.0,95603.96,1.1359332
6784000,487.50003,32.0,95604.92,1.1359446
6796000,487.58987,32.0,95603.88,1.1359323
6804000,487.5238,32.0,95604.64,1.1359413
6816000,487.58987,32.0,95603.88,1.1359323
6824000,487.58194,32.0,95603.97,1.1359333
6836000,487.62158,32.0,95603.53,1.1359282
6844000,487.4604,32.0,95605.37,1.13595
6856000,487.65063,32.0,95603.195,1.1359241
6864000,487.8171,32.0,95601.28,1.1359013
6876000,487.574,32.0,95604.086,1.1359347
6884000,487.611,32.0,95603.64,1.1359293
6896000,487.64008,32.0,95603.305,1.1359254
6904000,487.70084,32.0,95602.6,1.1359171
6916000,487.73254,32.0,95602.25,1.1359129
6924000,487.5846,32.0,95603.94,1.1359329
6936000,487.72992,32.0,95602.3,1.1359135
6944000,487.66385,32.0,95603.04,1.1359223
6956000,487.574,32.0,95604.086,1.1359347
6964000,487.51587,32.0,95604.73,1.1359423
6976000,487.76425,32.0,95601.88,1.1359085
6984000,487.55817,32.0,95604.25,1.1359366
6996000,487.48154,32.0,95605.12,1.135947
7004000,487.74576,32.0,95602.1,1.1359111
7016000,487.5925,32.0,95603.85,1.1359318
7024000,487.65063,32.0,95603.18,1.135924
7036000,487.48416,32.0,95605.09,1.1359466
7044000,487.6348,32.0,95603.375,1.1359262
7056000,487.57928,32.0,95604.016,1.1359339
7064000,487.56345,32.0,95604.19,1.1359359
7076000,487.63214,32.0,95603.42,1.1359268
7084000,487.62158,32.0,95603.52,1.135928
7096000,487.54758,32.0,95604.37,1.135938
7104000,487.56873,32.0,95604.14,1.1359353
7116000,487.63214,32.0,95603.41,1.1359266
7124000,487.62686,32.0,95603.46,1.1359273
7136000,487.5608,32.0,95604.23,1.1359364
7144000,487.71405,32.0,95602.484,1.1359156
7156000,487.66913,32.0,95602.97,1.1359215
7164000,487.6559,32.0,95603.13,1.1359234
7176000,487.67972,32.0,95602.84,1.1359199
7184000,487.48154,32.0,95605.13,1.1359471
7196000,487.75104,32.0,95602.05,1.1359105
7204000,487.65063,32.0,95603.195,1.1359241
7216000,487.57928,32.0,95604.0,1.1359336
7224000,487.46567,32.0,95605.305,1.1359491
7236000,487.56873,32.0,95604.13,1.1359353
