timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,arspd_check_level,load_factor_ratio,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,aspd_check_failing,aspd_fault_declared,aspd_use_inhibit,aspd_fail_rtl
300188000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
301196000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
302204000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
303212000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
304220000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
305228000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
306236000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
307244000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
308252000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
309200000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
310208000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
311216000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
312224000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
313232000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
314240000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
315248000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
316256000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
317264000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
318272000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
319280000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
320288000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
321296000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
322304000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
323312000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
324320000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
325328000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
326336000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
327344000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
328352000,2359343,2097167,2359343,0.0,0.0,3,2,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
