timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
140216000,-0.0020965855,-0.1732401,-3.1214423,0.0,-0.0099465335,0.086517856,-0.000172704,0.9962007,0.0,0.0,-0.5910738,1,0,0,0,0,0
140312000,-0.0037139717,-0.16893952,-3.120859,0.0,-0.010173045,0.084383845,-0.0009756352,0.9963809,0.0,0.0,-0.5868139,1,0,0,0,0,0
140408000,-0.0032936593,-0.16242409,-3.1203759,0.0,-0.010439626,0.08113554,-0.0007807437,0.9966481,0.0,0.0,-0.58853555,1,0,0,0,0,0
140504000,-0.0016854365,-0.15697335,-3.1197283,0.0,-0.010832218,0.078410596,1.7057522e-05,0.9968623,0.0,0.0,-0.5862159,1,0,0,0,0,0
140620000,-0.0017176674,-0.15155052,-3.1189358,0.0,-0.011230649,0.07570757,1.2594078e-06,0.99706686,0.0,0.0,-0.58599705,1,0,0,0,0,0
140716000,-0.0038268913,-0.1488407,-3.1182234,0.0,-0.011509725,0.07436875,-0.0010392688,0.9971639,0.0,0.0,-0.58529705,1,0,0,0,0,0
140816000,-0.0029391267,-0.14460233,-3.1176016,0.0,-0.011857721,0.07225049,-0.0005991058,0.9973159,0.0,0.0,-0.5852247,1,0,0,0,0,0
140912000,-0.002586336,-0.13814738,-3.1168964,0.0,-0.012229116,0.069029376,-0.0004377551,0.9975396,0.0,0.0,-0.58398646,1,0,0,0,0,0
141008000,-0.0032588476,-0.13470246,-3.116246,0.0,-0.012534594,0.06731543,-0.00077270274,0.9976527,0.0,0.0,-0.5826753,1,0,0,0,0,0
141104000,-0.0034136656,-0.12977733,-3.1157062,0.0,-0.0128049385,0.064859666,-0.0008638427,0.99781185,0.0,0.0,-0.5804644,1,0,0,0,0,0
141220000,-0.002122923,-0.12572569,-3.1152112,0.0,-0.013097582,0.06282992,-0.00023063812,0.9979383,0.0,0.0,-0.58290017,1,0,0,0,0,0
141316000,-0.0027940446,-0.12296813,-3.1145153,0.0,-0.013426834,0.061458513,-0.00056239206,0.99801916,0.0,0.0,-0.5787433,1,0,0,0,0,0
141416000,-0.0037227434,-0.11829124,-3.113852,0.0,-0.013735577,0.059131123,-0.0010380748,0.9981552,0.0,0.0,-0.5808464,1,0,0,0,0,0
141512000,-0.0036159884,-0.11599671,-3.113244,0.0,-0.014045178,0.05798551,-0.0009831756,0.9982181,0.0,0.0,-0.58074486,1,0,0,0,0,0
141608000,-0.0030018925,-0.11083837,-3.1127458,0.0,-0.014317658,0.055406615,-0.0006995876,0.998361,0.0,0.0,-0.57914054,1,0,0,0,0,0
141704000,-0.0017994728,-0.10623639,-3.1121526,0.0,-0.014650975,0.05310067,-0.00011686427,0.9984817,0.0,0.0,-0.57899284,1,0,0,0,0,0
141820000,-0.002840402,-0.10218486,-3.1114721,0.0,-0.014967504,0.051085714,-0.00064908556,0.99858195,0.0,0.0,-0.57909065,1,0,0,0,0,0
141916000,-0.0027435643,-0.0951185,-3.1109989,0.0,-0.015213775,0.04755668,-0.00064286496,0.9987525,0.0,0.0,-0.5767649,1,0,0,0,0,0
142016000,-0.0022409016,-0.097223185,-3.110527,0.0,-0.015459387,0.048603933,-0.0003642456,0.9986985,0.0,0.0,-0.5771499,1,0,0,0,0,0
