timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
110904000,11.63916,11.67184,-1.0,-1.0,0.0,0.0,0.7102058,1.040967,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
111396000,11.62563,11.65831,-1.0,-1.0,0.0,0.0,0.7020059,1.042175,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
111900000,11.611771,11.644451,-1.0,-1.0,0.0,0.0,0.6936066,1.0434154,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
112404000,11.59791,11.63059,-1.0,-1.0,0.0,0.0,0.68520606,1.044659,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
112896000,11.584381,11.61706,-1.0,-1.0,0.0,0.0,0.67700577,1.0458757,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
113400000,11.57052,11.603201,-1.0,-1.0,0.0,0.0,0.6686065,1.0471249,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
113904000,11.55666,11.58934,-1.0,-1.0,0.0,0.0,0.66020596,1.0483773,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
114396000,11.543131,11.5758095,-1.0,-1.0,0.0,0.0,0.6520057,1.0496026,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
114900000,11.52927,11.561951,-1.0,-1.0,0.0,0.0,0.64360636,1.0508608,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
115404000,11.515409,11.54809,-1.0,-1.0,0.0,0.0,0.6352058,1.0521221,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
115896000,11.501881,11.53456,-1.0,-1.0,0.0,0.0,0.62700593,1.0533562,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
