timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
209824000,32767,32767,32767,32767,32767,32767,32767
209828000,32767,32767,32767,32767,32767,32767,32767
209832000,32767,32767,32767,32767,0,0,32767
209836000,32767,32767,32767,32767,32767,32767,32767
209840000,32767,32767,32767,32767,0,0,32767
209844000,32767,32767,32767,32767,32767,32767,32767
209848000,32767,32767,32767,32767,32767,32767,32767
209852000,32767,32767,32767,32767,0,0,32767
209856000,32767,32767,32767,32767,32767,32767,32767
209860000,32767,32767,32767,32767,0,0,32767
209864000,32767,32767,32767,32767,32767,32767,32767
209868000,32767,32767,32767,32767,32767,32767,32767
209872000,32767,32767,32767,32767,0,0,32767
209876000,32767,32767,32767,32767,32767,32767,32767
209880000,32767,32767,32767,32767,0,0,32767
209884000,32767,32767,32767,32767,32767,32767,32767
209888000,32767,32767,32767,32767,32767,32767,32767
209896000,32767,32767,32767,32767,32767,32767,32767
209900000,32767,32767,32767,32767,0,0,32767
209904000,32767,32767,32767,32767,32767,32767,32767
209908000,32767,32767,32767,32767,32767,32767,32767
209912000,32767,32767,32767,32767,0,0,32767
209916000,32767,32767,32767,32767,32767,32767,32767
209924000,32767,32767,32767,32767,32767,32767,32767
209928000,32767,32767,32767,32767,32767,32767,32767
209932000,32767,32767,32767,32767,0,0,32767
209940000,32767,32767,32767,32767,0,0,32767
209944000,32767,32767,32767,32767,32767,32767,32767
209948000,32767,32767,32767,32767,32767,32767,32767
209952000,32767,32767,32767,32767,0,0,32767
209956000,32767,32767,32767,32767,32767,32767,32767
209960000,32767,32767,32767,32767,0,0,32767
209964000,32767,32767,32767,32767,32767,32767,32767
209968000,32767,32767,32767,32767,32767,32767,32767
209972000,32767,32767,32767,32767,0,0,32767
209976000,32767,32767,32767,32767,32767,32767,32767
209980000,32767,32767,32767,32767,0,0,32767
209984000,32767,32767,32767,32767,32767,32767,32767
209988000,32767,32767,32767,32767,32767,32767,32767
209992000,32767,32767,0,32767,0,0,32767
209996000,32767,32767,32767,32767,32767,32767,32767
210000000,32767,32767,32767,32767,0,0,32767
210004000,32767,32767,32767,32767,32767,32767,32767
210008000,32767,32767,32767,32767,32767,32767,32767
210012000,32767,32767,32767,32767,32767,0,32767
210016000,32767,32767,32767,32767,-40,32767,32767
210020000,32767,32767,32767,32767,0,0,32767
